title,category
[BERITA FOTO] Bumi Tak Pilih Kasih di Kuburan China,Megapolitan
Apa Alasan Pemprov DKI Jakarta Pilih PT Bahana sebagai Kontraktor Revitalisasi Monas?,Megapolitan
"Ma'ruf Amin Sebut Solusi Militer Tak Sepenuhnya Atasi Konflik, Malah Menyisakan Dendam",Regional
Harga Cabai di Tegal Meroket,Regional
"3 Peran Orangtua Didik Anak di Era ""Zaman Now""",Edukasi
BNPB Sebut Titik Terdampak Banjir di Bogor dan Lebak Sudah Dapat Bantuan Logistik,Nasional
"Ketahuan Edarkan Uang Palsu, Pria di Gowa Nyaris Diamuk Warga",Regional
"Hasto Diperiksa KPK, PDI-P Sebut untuk Klarifikasi Kesimpangsiuran",Nasional
Pelaku Pembunuhan Pelajar SMA yang Hilang 2 Bulan Diduga Berperilaku Seks Menyimpang,Regional
"Pembunuhan di Panti Jompo, Pelaku Sering Ingatkan Korban agar Tak Buang Air Besar Sembarangan",Regional
"OSO Tak Sepakat Usulan PDI-P soal Kenaikan ""Parliamentary Threshold""",Nasional
Satu Korban Kapal Tenggelam di Selat Malaka Ditemukan Tewas,Regional
"Resmi Jabat Ketum Hanura, OSO: Para Pencipta Riak-riak Politik Sudah Hengkang",Nasional
Malaysia Bantu Cari Korban Kapal TKI yang Tenggelam di Selat Malaka,Regional
"Menurut Mahfud MD, Jurnalis Mongabay asal AS Akan Segera Dideportasi",Nasional
Polisi Tangkap Pelaku yang Setubuhi Remaja dengan Iming-iming Main Sinetron,Megapolitan
Groundbreaking Bandara Kediri 16 April 2020,Regional
Jokowi Baru Tahu Alasan OSO Menolak Jabatan Wantimpres,Nasional
Sunda Empire Bakal Datangi Polisi Jelaskan Kegiatan di Aceh Utara,Regional
"Kapal yang Karam di Selat Malaka Bawa TKI Ilegal, 2 Pelaku Diamankan",Regional
"Kebijakan Kampus Merdeka, Kegiatan Belajar di Luar Kampus Diberikan Bobot SKS",Edukasi
Ma'ruf Amin: Saya Ditugaskan Presiden Galang Upaya Tangkal Radikalisme,Nasional
Cerita Jokowi saat Tak Diundang OSO di Munas Hanura,Nasional
Pengacara Sebut Penutupan PAUD Tempat Penitipan Balita Tanpa Kepala karena Tekanan Publik,Regional
Mahfud Sebut AS Dukung Papua Bagian dari NKRI,Nasional
Wapres: Kerukunan Umat Beragama jadi Kunci Pembangunan Nasional,Nasional
"Cegah Virus Corona, Kemenkes Perintahkan Seluruh Bandara Aktifkan SOP Ancaman PenyakitÂ ",Nasional
Istri yang Ketahuan Selingkuh Sempat Rawat Suami yang Dianiaya,Regional
Kemenkes Ingatkan Imunisasi Vaksin Pneumokokus Tak Cegah Virus Corona,Nasional
Kakek yang Bunuh Teman Sekamar di Panti Jompo Terancam 15 Tahun Penjara,Regional
Kasus Nenek yang Viral Ditendang di Pasar Berakhir Kekeluargaan,Regional
PAUD Tempat Penitipan Balita yang Tewas Tanpa Kepala di Samarinda Ditutup,Regional
TNI AL: Indonesia dan China Hanya Beda Pemahaman soal ZEE di Natuna,Nasional
"Kebijakan Kampus Merdeka, Perguruan Tinggi Bebas Buka Prodi Baru, Asal...",Edukasi
Artis Faye Nicole Diperiksa KPK Terkait Kasus Wawan,Nasional
Polisi Tangkap 3 Penyebar Malware JS Sniffer,Nasional
"Lalai, Pekerja Reklame Jatuhkan Tang hingga Menancap Kepala Bocah 6 Tahun",Regional
"Resmi Dikukuhkan, Ini Susunan Pengurus DPP Partai Hanura 2019-2024",Nasional
"Dampak Virus Corona, Kemenkes Minta Tak Panik ke Orang Baru Datang dari China",Nasional
Sekda DKI Sebut Pohon Dipindahkan agar Monas Langsung Terlihat dari Pintu Masuk,Megapolitan
Ketua DPP Partai Berkarya Sarankan Tommy Soeharto Nonaktifkan Priyo Budi Santoso,Nasional
Polda Banten Tutup 25 Tambang Emas yang Sebabkan Banjir Bandang,Regional
DPP Berkarya Persilakan KPK Periksa Priyo Budi Santoso Terkait Kasus Pengadaan Laboratorium Madrasah ,Nasional
Wapres Ma'ruf Amin: Ajaran Agama Sering Dimanipulasi untuk Kepentingan Duniawi,Regional
"Polisi Bongkar Bisnis Prostitusi Online di Kalsel, Tangkap 4 Wanita dan 2 Pria di Bawah Umur",Regional
Kenapa Ditjen Imigrasi Terlambat Deteksi Keberadaan Harun Masiku?,Nasional
Kejagung Telusuri Sekitar 800 Rekening Efek Para Tersangka Jiwasraya,Nasional
Bima Arya: Konflik GKI Yasmin Jadi Ujian Citra Toleransi Kota Bogor,Nasional
Penampakan Paus 15 Meter Terdampar di Hutan Magrove di NTT,Regional
Kadis SDA Sebut Video Genangan di Monas Sampai 30 Sentimeter Hoaks ,Megapolitan
"Soal Virus Corona, Wapres Ma'ruf Amin Tegaskan Pemerintah Sudah Antisipasi",Nasional
"Underpass Kemayoran Banjir 2,5 Meter, Pemprov DKI Sebut Itu Wewenang Kemensetneg",Megapolitan
BNPB Ingatkan Pejabat Daerah Pantau Curah Hujan Setiap Waktu,Nasional
"Indeks Demokrasi Indonesia Turun dalam Tiga Tahun Terakhir, Ini Respons Bawaslu",Nasional
"Lihat Temannya Terluka, 7 Pesilat Keroyok Pesilat Lainnya di Sukoharjo, 4 Orang Terluka",Regional
KPK Bantah Pernyataan Hasto yang Sebut Harun Masiku sebagai Korban,Nasional
Sutiyoso Pernah Tolak Program Menteri yang Ingin Bangun Situ di Monas,Megapolitan
Mengenal Sejarah di Museum Pustaka Peranakan Tionghoa,Megapolitan
Jokowi Hadiri Pengukuhan Pengurus DPP Hanura 2019-2024,Nasional
"Kisah Kakek 60 Tahun, Mahasiswa Tertua Universitas Muhammadiyah yang Lulus Ujian Skripsi",Regional
"Periksa 2 Komisioner KPU, KPK Dalami Mekanisme PAW",Nasional
Sinyal Dukungan Bima Arya untuk Calon Ketua Umum PAN,Nasional
"Tidak Hanya Hari Ini, Banjir di Monas Sudah Terjadi Berkali-kali",Megapolitan
"Ingin Fokus Urus Kota Bogor, Bima Arya Batal Maju Jadi Caketum PAN",Nasional
"8 Tahun Disiksa Ibu Kandung Tanpa Alasan, Remaja Ini Berkali-kali Berniat Bunuh Diri",Regional
"Akhir Januari, Proyek Percontohan Penanaman Vetiver di Sukajaya Mulai Berjalan",Nasional
"Sekda DKI: Pembangunan Monas Belum Pernah Selesai, Presiden Pertama Pun Belum Meresmikan",Megapolitan
"4 Kecamatan di Kabupaten Bandung Diterjang Banjir hingga 1,4 Meter",Regional
"Mengenal Ular Weling, Ular yang Tenang tapi Mematikan",Regional
"Kebijakan Kampus Merdeka, Mahasiswa S1 Bisa Ambil Mata Kuliah Lintas Prodi",Edukasi
Dirjen Imigrasi Sebut Yasonna Tak Merekayasa Keberadaan Harun Masiku,Nasional
"Pelajar SMA Hilang 2 Bulan lalu Ditemukan Tinggal Tengkorak, Nenek Korban: Belum Yakin, Mudah-mudahan Bukan Astrid",Regional
Pria Ini Cabuli 7 Anak Perempuan dengan Iming-iming Uang Rp 10.000,Regional
100 Personel Gabungan Jaga Wihara Dharma Bakti Saat Imlek,Megapolitan
BNPB Tunggu Usulan Dana Renovasi Rumah dari Bupati Lebak dan Bogor,Nasional
"Stadion Manahan Solo Siap Jadi Venue Piala Dunia U-20, tapi...",Regional
"Diusut Polisi, Akun Media Sosial Penghina Risma Sudah Tidak Aktif",Regional
Mantan Ketua KPU Mojokerto dan Mantan Pejabat PUPR Diperiksa KPK,Regional
BNPB Berikan Penghargaan untuk Pilot Militer dan Jurnalis,Nasional
"Lanjutkan Program Sejuta Rumah, Jokowi Naikkan Kuota FLPP",Nasional
"Diperiksa KPK, Komisioner KPU Hasyim Asy'ari Ditanya Proses Pemilu hingga Mekanisme PAW",Nasional
"Paus Fransiskus Ingin ke Indonesia, Jokowi Kirim Undangan Resmi",Nasional
Alasan Pemkot Surabaya Laporkan Akun Media Sosial Diduga Hina Risma,Regional
Kasus Pengaturan Skor Persikasi Vs Perses Sumedang Segera Disidangkan,Megapolitan
"Terkait Virus Corona, Wakil Ketua MPR Minta Pemerintah Berlakukan Travel Warning ke Wuhan",Nasional
Kejari Jember Tetapkan Kontraktor Pasar Manggisan Jadi Tersangka,Regional
"BNPB: 17.556 Pengungsi di Kabupaten Bogor, 1.776 Pengungsi di Lebak",Nasional
Polisi Limpahkan Berkas Perkara 2 Tersangka Penyerang Novel ke Kejati DKI,Nasional
"Sebelum Dipindahkan, Pohon yang Ditebang di Monas Disehatkan di Kebun Bibit",Megapolitan
Polisi Duga Pelaku Masturbasi Depan Bocah di Cikarang Timur Eksibisionis,Megapolitan
"Curah Hujan Tinggi, Dinas Pendidikan Jakarta Beri 10 Imbauan untuk Sekolah",Edukasi
TNI AL: Sejak 2016 hingga Akhir 2019 Tak Ada Kapal Nelayan China di Natuna,Nasional
3 Rumah Sakit di Jatim Ini Ditunjuk Tangani Pasien Terjangkit Virus Corona,Regional
"Malu, Alasan Paman dan Keponakan Buang Bayi Hasil Hubungan Gelap",Regional
Kemenkumham Bentuk Tim Gabungan Pencarian Harun Masiku ,Nasional
Kisi-kisi UN 2020 SMA Jurusan IPS: Mapel Ekonomi,Edukasi
Seluruh Gardu Listrik PLN Jakarta yang Padam akibat Banjir Sudah Menyala,Megapolitan
"Ditangkap Polisi, 2 Mucikari Ini Diceramahi Ketua MUI Gresik",Regional
Mayat Laki-laki Bertato Ditemukan Mengapung Dekat Dermaga Pusdik Polair,Megapolitan
Dirjen Imigrasi Bantah Tutupi Keberadaan Harun Masiku ,Nasional
Polisi Tangkap Pria yang Masturbasi di Depan Bocah di Cikarang Timur Bekasi,Megapolitan
"Puluhan Warga Datangi Polrestabes Surabaya, Minta Usut Akun Medsos Diduga Hina Risma",Regional
Polri Bentuk Tim Buru Harun Masiku,Nasional
"Kain Sasirangan, Oleh-oleh yang Bisa Dibawa Pulang dari Banjarmasin",Regional
"Khofifah: Virus Corona Belum Terdeteksi di Jatim, tapi Kami Tetap Waspada",Regional
Kejagung Bentuk Tim Buru Aset Para Tersangka Kasus Jiwasraya,Nasional
"Hujan sejak Pagi, 73 Titik di Jakarta Masih Terendam Jumat Sore",Megapolitan
"Raja dan Ratu Keraton Agung Sejagat Dibela 12 Pengacara, Salah Satunya dari Laskar Merah Putih",Regional
Polisi: Pemkot Surabaya Laporkan Akun Media Sosial Diduga Hina Risma,Regional
Camat Minta Pedagang Pindah dari Kios Pulogadung yang Ambles akibat Longsor,Megapolitan
Presiden Jokowi Ajak Masyarakat Sukseskan Sensus Penduduk 2020,Nasional
"Ganjar: Tak Hanya Jawa, Kenduri Juga ada di Komunitas Tionghoa",Regional
"606 Babi di Bali Mati Dalam Sebulan, Pemerintah Tunggu Uji Lab",Regional
Selama 8 Tahun Seorang Ibu di Samarinda Aniaya 3 Anaknya dengan Balok dan Piring Tanpa Alasan,Regional
Imbauan Dinkes Depok: Jangan Berkunjung ke Negara yang Terkena Wabah Corona,Megapolitan
Kejagung Sita Kendaraan Mewah hingga 40 Kotak Perhiasan dari Rumah Harry Prasetyo,Nasional
Nelayan Pantura Bisa Melaut di Natuna Mulai Akhir Januari,Nasional
"Berkat Burung Hantu, Panen Padi di Desa Pasirmulya Karawang Melimpah",Regional
Pengembang Perumahan Tertipu Rp 25 Juta oleh Penelepon yang Catut Satpol PP,Regional
420 Mahasiswa Indonesia yang Kuliah di Wuhan Berstatus Negatif Virus Corona,Nasional
"Mulai Sabtu, Harga Tiket Pesawat Melalui Bandara Ahmad Yani Semarang Naik",Regional
"Tenaga Honorer Dihapus, Pegawai Honorer Tangsel Minta Pemerintah Cari Solusi",Megapolitan
Najwa Shihab: Pustakawan Seharusnya Diisi Anak Muda,Edukasi
Turap yang Longsor di Pulo Gadung untuk Sementara Ditahan dengan Kantong Tanah,Megapolitan
"Bukan 190, Sekda DKI Sebut Hanya 85 Pohon yang Dipindahkan untuk Revitalisasi Monas",Megapolitan
Depok Akan Tambah Satu Lagi RSUD ,Megapolitan
"Komisi IX Koordinasi dengan Menkes soal Virus Corona, Minta Masyarakat Tak Panik",Nasional
"Kembali Jadi Duta Baca Indonesia, Ini Tugas Penting Najwa Shihab",Edukasi
Gerindra Minta Rencana Pencabutan Subsidi Elpiji 3 Kg Dibatalkan,Nasional
Menengok Gereja Santa Maria de Fatima di Petak Sembilan yang Menyerupai Kelenteng,Megapolitan
Polisi Periksa Kejiwaan Kakek di Panti Jompo yang Bunuh Teman Sekamarnya karena Sering Buang Air Besar,Regional
"Sadap Kebun Karet Milik Orang Lain Selama 1,5 Bulan, Suami Istri Ditangkap",Regional
"Cekcok Masalah Ongkos, Pelaku Tusuk Sopir Taksi Online di Subang",Nasional
"Fenomena Kerajaan Fiktif, antara Motif Uang dan Masyarakat yang Tak Rasional",Nasional
PLN Padamkan 146 Gardu Terdampak Banjir di Wilayah Banten,Megapolitan
"Sensus Penduduk 2020, Jokowi Ingatkan Data Lebih Berharga dari Minyak",Nasional
"Sering Buang Air Besar Sembarangan, Alasan Kakek 75 Tahun Bunuh Teman Sekamarnya di Panti Jompo",Regional
Roy Suryo Laporkan Petinggi Sunda Empire ke Polisi,Megapolitan
"Kasus Pembunuhan Guru SMP di Jombang Terungkap, Ini Motifnya",Regional
Tinggi Genangan Air Capai 40 Sentimeter di Depan RS Mitra Keluarga Kelapa Gading ,Megapolitan
"Jelajah Cikal Bakal Angkringan di Desa Ngerangan, Klaten",Regional
Hasto Minta Harun Masiku Kooperatif dan Tak Takut Hadapi Kasus di KPK,Nasional
390 Personel Gabungan Amankan Wihara Saat Perayaan Imlek di Tangsel,Megapolitan
"Rawat Pasien Virus Corona, China Bangun Rumah Sakit dalam 10 Hari",Internasional
"Wihara Bahtera Bakti di Ancol Tergenang Jelang Imlek, Pengurus Sibuk Kuras Air",Megapolitan
Jokowi Akan Paksa PNS Pusat untuk Pindah ke Ibu Kota Baru,Nasional
"7 Tahun Dibohongi, Istri Pilih Cerai dengan Anggota TNI Gadungan",Regional
Kemenkes Pastikan Belum Ada Pasien Positif Virus Corona di Indonesia,Nasional
"Kisah Martinus, Korban Selamat dari Gigitan Ular Keramek yang Mematikan",Regional
"Mendikbud Nadiem Luncurkan 4 Kebijakan Kampus Merdeka, Ini Penjelasannya",Edukasi
Jokowi Diminta Evaluasi Menkumham Yasonna Laoly,Nasional
"Bukan Gong Xi Fa Cai, Begini Ucapan Tahun Baru Imlek Tempo Dulu",Megapolitan
"Ambles Akibat Longsor, Warung Makanan Pinggir Kali di Pulo Gadung Dirubuhkan",Megapolitan
"Heboh Kerajaan Kandang Wesi di Garut, Nurseno: Saya Hanya Mengajarkan Bela Diri",Regional
"Rambut 2 Meter yang Jadi Sarang Tikus Dipotong, Sukiyah Mulai Komunikasi",Regional
"Warga Sebut Banjir Jelang Imlek Ganggu Ibadah, Ada Juga yang Bilang Tanda Hoki",Megapolitan
Komnas HAM Minta Penyelesaian Kasus Tragedi Semanggi Tak Lagi Diributkan,Nasional
Masyarakat China dan Sumbangsih pada Bahasa di Indonesia,Megapolitan
"Ada 78 Titik Genangan di Jakarta, Salah Satunya Sedalam 2,5 Meter akibat Hujan Awet",Megapolitan
Mahfud MD: Tak Ada Tenggat Waktu Penyelesaian Tragedi Semanggi I dan II,Nasional
"Cantiknya Underpass Bandar Udara YIA, Bertabur Gambar Kesenian Angguk dan Penari Jatilan",Regional
Cara PDI-P Tangani Kasus Harun Bisa Berdampak Buruk di Pilkada 2020,Nasional
Hasto Ungkap Alasan PDI-P Ajukan Harun Masiku Sebagai Pengganti Nazarudin Kiemas,Nasional
Presiden Jokowi Jamin Ibu Kota Baru Bebas Banjir dan Macet,Nasional
"Habiskan Dana Desa untuk Foya-foya dan Bayar Utang, Mantan Kades di Sumsel Ditangkap",Regional
"Kasus Pembunuhan Guru SMP di Jombang, Pelaku Bawa Pisau dari Rumah",Regional
"Jakarta Hujan Sejak Pagi, Jalan Gading Kirana Tergenang 20 Sentimeter",Megapolitan
Polisi Kembali Tangkap Satu Tersangka Prostitusi Anak di Rawa Bebek,Megapolitan
"Bertemu Pimpinan MPR, Dubes Xiao Qian Ungkap Penyebab Nelayan China Melaut di Natuna ",Nasional
"""Geng Donki"" Pelaku Begal di Bali Ditangkap Polisi, Isinya Anak-anak Sekolah",Regional
"Netizen Dibuat Ngakak Ban Depan Motor Diganti Donat, Ini Kisahnya",Regional
"Jika Diharuskan, Pemprov DKI Siap Hentikan Sementara Revitalisasi Monas",Megapolitan
"Hasto Dicecar 24 Pertanyaan oleh Penyidik KPK, Termasuk Soal Harun Masiku",Nasional
Presiden Jokowi Perintahkan Kemenkes Antisipasi Masuknya Virus Corona,Nasional
Kronologi Pelajar SMA Hilang 2 Bulan lalu Ditemukan Tinggal Tengkorak,Regional
"Hujan Tak Kunjung Reda, Transjakarta Alihkan 3 Rute",Megapolitan
"Tiga Turis Asing Diduga Terjangkit Virus Corona, RSUP Sanglah Kirim Hasil Pemeriksaan ke Jakarta",Regional
Yuliana Bertaruh Nyawa Terobos Banjir Tinggi demi Tetap Mengajar,Regional
RUU KKR dan Upaya Ampuh Pemerintah Menuntaskan Pelanggaran HAM Berat,Nasional
Tiga Ruko di Pulo Gadung Ambles akibat Longsor,Megapolitan
"Pidato dalam Pertemuan Parpol Dunia, Ini yang Disampaikan Wapres Ma'ruf Amin ",Regional
"Lubang Peluru di Tubuh Wawan, Aktivis Tim Relawan untuk Kemanusiaan",Nasional
Proyek Revitalisasi Monas Tetap Berjalan meski Belum Berizin,Megapolitan
"Waspadai Virus Corona, 10 Rumah Sakit di Jateng Siapkan Ruang Isolasi",Regional
Kapolri Bentuk Satgas Pengamanan Imlek,Nasional
"Tanggapi Virus Corona, PM Singapura Minta Warga Tenang namun Waspada",Internasional
Kisah Relawan Potong Rambut Gimbal 2 Meter dan Jadi Sarang Hewan: Saya Merinding,Regional
"Saat Imlek, 250 Polisi Dikerahkan ke Kelenteng dan Wihara di Bekasi",Megapolitan
Guru SMP yang Tewas di Rumahnya Dibunuh oleh Pasutri Tetangga Desa,Regional
"Miliki Pen Gun secara Ilegal, Pedagang di Maros Ditangkap Polisi",Regional
